country,Xcentroid,Ycentroid
L'Argentine,-41,224
Le Suriname,19,-166
La Colombie,-81,-114
La Bolivie,-65,-47
Le Chili,-48,222
Le Guyana,-2,-169
Le Brésil,35,-66
La Géorgie du Sud,81,230
L'Uruguay,13,87
Le Venezuela,-50,-179
La Guyane Française,37,-164
Le Pérou,-89,-99
L'Équateur,-195,-144
Les îles Malouines,-8,208
Le Congo-Kinshasa,0,0
La Mauritanie,-193,-130
Le Sierra Leone,-209,-43
La Tunisie,-62,-226
Le Gabon,-57,13
Le Rwanda,72,34
L'Algérie,-105,-172
La Guinée-Bissau,-225,-69
Le Lesotho,51,214
Le Sahara occidental,-184,-168
L'Angola,-14,103
La Réunion,217,157
Le Cap-Vert,-270,-100
Le Libéria,-195,-27
Djibouti,153,-64
Le Cameroun,-52,-34
La Guinée Equatoriale,-64,9
Le Nigéria,-79,-50
Le Kenya,125,10
La Rép. Centrafricaine,13,-36
La Tanzanie,105,60
Mayotte,167,105
Le Soudan,68,-91
Le Mali,-152,-103
L'Égypte,64,-164
La Guinée,-205,-68
La Zambie,53,107
Le Congo-Brazzaville,-37,9
Le Ghana,-143,-50
La Namibie,-13,166
Le Niger,-70,-103
L'Afrique du Sud,28,201
Le Zimbabwe,62,136
Le Burundi,72,43
Le Malawi,96,91
Le Sénégal,-220,-85
Le Tchad,-7,-86
L'Eswatini (Swaziland),73,196
Maurice,238,147
La Libye,-10,-165
Sao Tomé et Principe,-88,15
Le Botswana,27,159
L'Éthiopie,136,-45
Le Maroc,-156,-208
La Côte d'Ivoire,-163,-47
La Gambie,-227,-79
Les Comores,159,98
Le Congo-Kinshasa,0,0
Le Togo,-126,-36
La Somalie,169,-6
L'Érythrée,123,-91
Le Burkina Faso,-143,-67
Les Seychelles,182,79
Le Bénin,-118,-49
Le Mozambique,95,121
Le Soudan du Sud,74,-29
L'Ouganda,90,9
Madagascar,168,152
